Expression	Value	Location	Type	
[83]	2.0514850611E+1	Memory:0x1ec2	double	
[84]	2.05148601E+1	Memory:0x1ec6	double	
[85]	2.05148162E+1	Memory:0x1eca	double	
[86]	2.05148201E+1	Memory:0x1ece	double	
[87]	2.0514827722E+1	Memory:0x1ed2	double	
[88]	2.05148201E+1	Memory:0x1ed6	double	
[89]	2.05147914E+1	Memory:0x1eda	double	
[90]	2.0514852522E+1	Memory:0x1ede	double	
[91]	2.0514827722E+1	Memory:0x1ee2	double	
[92]	2.05148162E+1	Memory:0x1ee6	double	
[93]	2.05148487E+1	Memory:0x1eea	double	
[94]	2.05148658E+1	Memory:0x1eee	double	
[95]	2.0514881133E+1	Memory:0x1ef2	double	
[96]	2.0514850611E+1	Memory:0x1ef6	double	
[97]	2.0514884944E+1	Memory:0x1efa	double	
[98]	2.05148983E+1	Memory:0x1efe	double	
[99]	2.05148353E+1	Memory:0x1f02	double	
